id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;立轩;白;立诚.魏75@yahoo.com;repurpose withdrawal;2026-01-28T11:54:47;71697;45464
2;文昊;贾;煜城.萧@gmail.com;withdrawal;2026-01-28T15:51:39;75289;21024
3;浩;龙;博文.冯@gmail.com;Sleek;2026-01-28T00:55:03;71090;65309
4;智宸;许;胤祥.潘@hotmail.com;reinvent orchestrate;2026-01-27T20:24:40;52820;82484
5;熠彤;彭;天磊14@hotmail.com;mobile Granite;2026-01-28T15:02:34;13439;33970
6;梓晨;孙;鹏煊.夏73@gmail.com;Jersey time-frame;2026-01-27T23:48:46;64329;13556
7;擎苍;林;熠彤72@yahoo.com;Devolved rich;2026-01-28T02:18:54;54588;45928
8;鸿涛;洪;俊驰8@yahoo.com;payment 河北省;2026-01-28T16:22:18;3244;21747
9;烨霖;陶;靖琪_郭98@hotmail.com;white;2026-01-28T07:42:57;90189;81327
10;绍齐;白;雨泽79@gmail.com;Table 上海市 Checking;2026-01-27T20:23:07;32637;8639
